AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
5;4;5;5;5;5;5;5;4;4;3;5;5;5;4;5;5;3;5;5;5;5;5;5;53;38;53;44;410;21;0;1;45-54;2;Nie;A;B
5;4;2;3;3;3;3;2;2;5;4;5;4;3;3;3;3;4;5;4;3;3;4;4;83;71;63;81;649;12;0;1;18-24;2;Nie;A;C
4;4;4;4;3;5;5;5;3;5;3;1;1;1;1;2;4;3;5;4;4;5;1;4;106;60;84;64;572;1;0;1;25-34;2;Nie;C;B
4;5;5;4;4;4;4;4;4;3;3;3;4;4;2;4;4;1;4;4;4;4;3;4;91;65;60;48;620;32;0;1;55-64;1;Nie;C;A
4;4;4;4;5;5;5;5;4;4;4;3;4;4;3;4;4;4;4;4;4;5;4;4;53;36;46;25;365;5;1;0;25-34;1;Nie;C;C
2;4;3;3;3;4;4;5;4;3;3;3;4;3;3;3;4;4;3;4;3;4;3;4;132;80;98;74;759;14;0;0;35-44;1;Nie;C;C
5;5;5;5;5;5;5;5;5;4;4;3;5;5;3;5;5;4;1;1;5;5;4;4;100;67;66;31;571;36;0;0;55-64;1;Tak;A;D
2;4;4;4;3;4;4;4;4;3;2;4;4;4;3;4;4;3;3;2;4;4;4;3;54;28;54;20;327;6;0;1;25-34;2;Nie;C;C
1;3;2;2;2;4;2;3;2;1;3;3;2;3;4;3;2;3;2;4;2;2;3;3;91;53;66;43;546;27;0;0;45-54;2;Nie;B;D
5;4;5;3;5;1;4;2;4;2;4;2;4;4;4;3;5;4;2;3;5;2;4;3;64;33;45;55;423;47;0;1;65+;1;Nie;A;B
2;2;2;1;4;4;5;5;4;4;3;3;2;3;2;3;3;4;2;2;2;4;3;3;120;53;89;44;566;2;1;0;25-34;1;Nie;B;C
5;4;5;4;2;3;3;3;2;1;3;2;3;3;3;4;4;3;4;3;4;3;3;4;36;26;29;23;253;25;0;0;45-54;1;Nie;C;C
4;4;4;5;5;4;4;4;5;3;3;3;4;3;3;4;5;2;2;2;4;4;3;2;77;79;75;47;572;14;1;1;35-44;1;Nie;A;D
5;5;5;4;5;4;5;5;5;4;2;4;2;4;4;5;5;2;5;5;5;5;4;5;79;60;74;34;482;30;0;0;55-64;2;Nie;C;A
4;2;2;4;3;4;4;1;4;3;3;3;4;4;2;4;4;4;1;1;3;4;3;4;47;39;48;19;379;18;0;1;45-54;1;Tak;B;D
4;4;3;4;3;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;4;5;5;5;60;41;36;27;378;7;1;1;25-34;2;Nie;A;C
4;5;4;4;4;4;3;4;4;3;3;2;2;2;2;5;4;3;3;3;4;4;2;3;114;88;111;98;810;10;1;0;25-34;2;Nie;C;C
2;2;2;4;2;3;4;4;3;3;3;4;4;3;3;2;2;4;3;2;2;3;3;2;51;27;39;15;283;38;0;0;55-64;1;Tak;B;C
2;4;3;2;4;4;4;4;3;3;1;4;4;4;3;3;4;1;2;2;3;4;4;2;107;80;94;59;598;36;1;0;55-64;1;Nie;C;C
4;4;4;4;5;4;5;5;5;4;3;3;3;3;3;4;4;1;4;4;4;5;3;4;47;48;44;24;376;20;1;0;35-44;2;Nie;B;C
4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;5;4;76;68;66;51;540;30;1;1;45-54;2;Tak;A;A
5;4;4;4;4;5;5;5;4;5;1;5;5;5;5;4;4;2;5;5;4;5;5;4;90;41;65;18;389;8;1;0;35-44;2;Nie;A;A
4;4;4;4;3;4;3;4;4;3;3;3;3;3;2;2;4;4;4;4;4;4;3;4;91;68;78;55;627;3;0;0;25-34;2;Nie;C;A
4;2;2;2;4;2;2;2;4;2;4;1;1;1;1;2;2;3;1;1;2;2;1;2;58;27;41;23;261;24;1;1;45-54;1;Nie;B;C
2;4;4;2;4;4;4;4;4;4;2;2;4;2;2;2;4;2;2;2;4;4;2;2;123;78;99;88;726;24;1;1;45-54;1;Nie;C;C
2;2;2;4;3;2;5;4;3;4;3;3;3;3;3;2;3;3;2;3;2;4;3;3;131;87;107;87;718;25;0;1;45-54;2;Nie;B;A
4;5;5;2;4;4;5;5;4;5;3;2;4;4;2;4;4;3;2;2;4;5;3;3;127;72;74;31;612;12;0;0;35-44;2;Nie;C;C
4;2;2;2;5;4;4;4;5;4;4;4;4;4;4;4;4;4;2;2;2;4;4;4;59;44;49;21;316;12;0;0;35-44;2;Nie;A;C
2;2;4;4;4;2;4;4;4;2;2;2;1;2;1;4;4;2;2;2;4;4;2;2;41;45;37;21;340;7;1;0;25-34;2;Tak;B;B
5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;141;97;98;65;900;15;1;0;55-64;1;Nie;C;C
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;71;40;47;29;426;20;1;0;45-54;1;Nie;A;A
4;2;4;4;4;4;4;4;4;2;2;3;2;3;2;2;2;1;1;1;4;4;2;1;71;38;73;28;459;5;1;0;25-34;1;Nie;B;D
5;5;5;4;4;5;5;5;4;3;3;4;4;4;4;4;4;4;5;5;5;5;4;4;62;45;54;54;444;12;1;1;35-44;1;Nie;A;A
4;2;4;4;4;4;4;4;4;3;1;1;1;1;1;2;4;4;3;3;4;4;1;3;67;26;46;21;287;8;0;1;25-34;2;Nie;B;A
4;4;4;4;3;2;4;3;4;2;1;1;2;2;1;4;4;2;3;3;4;3;1;3;108;75;90;80;726;12;1;1;35-44;2;Nie;B;D
4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;3;3;1;4;4;4;4;4;3;119;53;83;38;540;25;1;0;45-54;1;Nie;C;D
4;4;4;4;3;4;4;4;2;4;4;2;4;2;3;2;3;2;2;2;4;4;3;2;57;48;60;27;380;7;1;0;25-34;2;Nie;B;A
5;5;4;4;4;5;5;5;3;3;4;3;3;3;3;4;4;3;5;3;4;5;3;4;70;46;61;23;386;6;1;0;25-34;1;Nie;C;C
4;4;4;4;4;4;4;4;4;3;2;3;3;4;3;4;4;4;2;2;4;4;3;4;96;107;83;94;786;19;1;1;35-44;2;Nie;C;C
4;5;4;3;4;4;4;5;4;3;1;2;2;3;2;4;4;1;4;3;4;4;2;4;73;66;76;54;614;6;1;0;35-44;1;Nie;B;B
2;3;5;4;3;4;3;5;4;4;4;2;4;4;3;4;4;3;4;5;3;4;4;4;89;45;60;49;509;30;0;1;55-64;1;Nie;C;C
5;5;4;5;5;4;5;5;5;4;3;3;3;4;3;4;5;3;5;5;5;5;3;5;67;48;65;31;469;30;1;0;45-54;2;Nie;C;C
1;3;1;1;2;3;4;4;1;4;3;1;1;4;2;1;1;3;4;4;1;4;2;3;127;69;81;76;673;8;0;0;25-34;2;Nie;B;C
4;5;5;5;5;4;5;5;5;4;4;4;5;4;4;4;5;4;4;2;5;5;4;4;85;51;67;31;554;22;1;0;45-54;1;Tak;A;A
5;4;5;5;5;5;5;5;5;4;2;3;3;3;3;3;4;3;3;2;5;5;3;3;75;66;59;46;523;11;1;1;35-44;2;Nie;C;A
5;4;4;5;3;4;5;5;4;4;2;3;3;3;3;4;4;3;4;3;4;4;3;4;58;40;42;19;318;10;1;1;35-44;2;Nie;C;B
4;4;2;5;5;5;4;5;5;4;1;2;2;2;2;5;5;1;4;4;4;5;2;4;90;55;69;44;507;10;0;0;35-44;2;Nie;C;C
2;4;2;2;4;4;4;5;2;2;2;1;2;3;1;2;2;2;2;1;2;4;2;2;163;127;155;122;1104;20;1;0;45-54;2;Nie;B;C
4;4;4;4;3;2;2;4;3;2;4;3;4;3;4;3;4;3;3;3;4;2;4;3;98;66;84;67;682;18;0;0;55-64;2;Nie;C;C
4;4;4;4;4;4;4;5;3;3;2;2;2;2;1;2;5;2;4;4;4;4;2;4;68;48;57;30;409;12;1;1;35-44;2;Nie;C;D
4;5;5;4;5;5;4;4;4;4;3;5;4;4;5;5;4;4;1;1;5;4;4;4;84;33;56;34;411;8;1;0;25-34;2;Nie;A;B
5;4;4;4;4;4;5;5;4;4;5;4;4;4;5;4;4;5;4;4;4;4;4;4;88;40;57;39;418;11;1;0;45-54;2;Nie;A;A
4;4;4;5;4;5;5;5;4;4;4;5;5;4;4;4;4;5;4;4;4;5;4;4;77;62;55;43;468;6;0;1;35-44;2;Tak;A;D
3;5;3;4;4;5;5;5;4;4;5;4;4;3;4;4;3;4;3;4;4;5;4;4;53;46;67;50;460;24;0;1;45-54;2;Nie;A;C
1;1;1;4;4;4;4;4;4;3;2;3;4;4;3;1;1;3;4;4;1;4;3;3;78;69;50;27;472;24;1;0;45-54;2;Nie;B;C
2;2;2;3;2;2;2;2;2;2;4;3;4;4;3;2;3;3;4;3;2;2;4;3;109;57;81;67;545;21;0;0;55-64;1;Nie;B;A
4;4;3;4;5;5;5;5;5;5;5;4;5;3;5;3;4;3;4;4;4;5;5;4;51;25;41;18;311;24;1;1;45-54;2;Nie;A;B
5;5;4;5;5;5;5;5;4;4;4;4;4;4;4;4;5;4;3;2;5;5;4;4;39;38;37;23;308;6;0;0;35-44;1;Nie;A;D
4;4;4;4;4;4;4;5;4;3;4;4;4;4;3;2;4;2;2;4;4;4;4;2;105;89;102;96;759;17;0;0;45-54;2;Nie;C;A
4;5;5;4;3;2;5;4;2;2;4;5;5;4;4;5;4;1;4;2;4;2;4;4;100;44;63;39;453;15;1;0;35-44;1;Tak;C;A
5;4;4;4;4;2;4;4;4;2;3;4;4;5;4;4;4;5;2;3;4;4;4;4;81;49;62;28;428;46;0;0;65+;1;Nie;C;C
4;4;4;5;4;5;5;4;4;4;2;3;2;4;2;4;5;2;2;2;4;4;2;2;69;45;44;26;385;30;1;0;55-64;2;Nie;C;C
5;5;5;5;5;5;5;4;5;4;4;4;5;4;3;4;4;5;4;4;5;5;4;4;70;43;58;30;427;32;0;1;55-64;1;Tak;A;A
4;4;5;4;2;4;5;4;4;3;4;4;4;4;4;4;4;5;3;3;4;4;4;4;56;40;43;21;359;6;1;1;25-34;1;Nie;C;B
5;5;4;5;4;4;4;5;4;4;4;4;4;3;4;4;4;4;4;3;5;4;4;4;77;51;68;21;399;16;1;0;35-44;2;Nie;C;B
5;2;3;4;4;4;5;5;4;4;3;1;1;1;1;2;2;3;5;5;4;4;1;3;63;38;42;23;350;2;0;1;25-34;2;Tak;C;D
4;4;4;2;4;2;4;4;4;2;3;1;1;3;1;3;2;1;1;1;4;4;1;1;100;56;69;44;607;33;1;0;55-64;1;Nie;B;C
2;2;1;2;4;4;4;4;4;2;1;2;4;2;1;2;2;1;2;2;2;4;2;2;95;61;83;66;603;30;1;0;55-64;1;Tak;B;A
4;2;1;2;4;1;1;2;2;1;4;2;2;2;2;2;3;5;1;1;2;1;2;2;52;39;49;24;351;30;1;1;45-54;2;Nie;B;D
2;1;1;1;1;4;4;2;2;2;1;3;2;2;2;1;1;1;2;1;1;2;2;1;63;51;56;38;447;20;1;0;45-54;2;Nie;B;D
4;3;2;2;1;1;2;1;2;1;4;3;3;3;3;2;2;3;2;2;2;1;3;2;96;50;48;33;435;40;0;0;65+;2;Nie;B;C
5;4;4;5;3;4;4;5;3;3;4;2;2;3;3;4;4;3;5;5;4;4;3;4;84;30;59;24;362;1;1;1;25-34;2;Nie;C;C
4;3;2;4;2;1;4;4;2;1;4;3;2;2;2;3;2;4;2;2;3;2;2;2;82;49;71;39;604;16;1;0;55-64;1;Nie;B;D
4;4;4;4;2;2;2;2;3;2;3;4;4;3;3;1;4;4;2;2;4;2;3;2;85;60;57;55;599;20;0;0;45-54;1;Nie;C;B
5;4;4;5;5;4;5;5;5;5;3;3;4;4;4;4;4;3;3;5;5;5;4;4;93;62;55;39;477;25;1;0;55-64;1;Nie;C;D
5;5;5;5;4;4;4;2;3;2;1;2;2;2;2;4;4;1;4;3;5;3;2;4;88;63;55;48;514;40;1;0;55-64;1;Nie;C;D
4;5;5;5;3;5;3;5;5;5;3;2;4;3;2;5;5;3;5;3;5;5;3;5;61;58;72;42;437;2;0;1;25-34;1;Nie;C;A
5;4;4;2;2;5;1;4;3;2;2;4;4;1;1;1;1;1;1;1;4;3;2;1;74;30;50;24;343;11;0;1;35-44;2;Nie;B;A
1;2;1;1;3;4;4;4;3;4;3;3;4;3;3;1;1;3;3;3;1;4;3;3;72;47;64;37;410;15;0;0;35-44;2;Nie;B;A
5;5;4;1;3;1;5;5;3;3;5;1;3;1;1;1;4;5;5;5;4;3;1;5;88;53;65;43;556;43;1;0;65+;1;Tak;C;A
4;4;4;4;4;5;5;4;4;5;5;5;5;5;5;4;4;4;5;5;4;5;5;4;45;39;45;19;299;12;0;0;35-44;2;Nie;A;D
2;1;1;3;2;4;4;5;3;4;3;5;5;5;5;1;3;5;2;3;2;4;5;3;91;45;70;55;482;13;0;0;35-44;2;Nie;A;D
4;5;4;4;4;4;4;4;3;2;3;4;5;3;2;4;3;3;3;3;4;4;3;3;43;39;46;39;350;35;1;0;55-64;1;Tak;A;A
5;5;4;3;3;4;2;4;5;4;4;3;4;3;2;2;3;4;2;2;4;4;3;2;89;69;95;46;656;18;1;0;35-44;1;Nie;B;C
1;1;1;1;3;4;3;1;2;3;4;2;3;4;3;2;1;3;2;1;1;3;3;2;64;48;58;20;368;20;0;1;45-54;2;Nie;B;C
5;4;4;5;4;2;2;4;4;4;3;5;5;5;5;5;5;2;5;5;4;4;5;5;49;36;46;19;361;24;1;0;45-54;2;Tak;A;C
4;4;3;3;4;2;3;4;4;3;2;3;3;3;3;2;3;2;3;3;4;3;3;3;62;49;51;34;422;44;0;0;65+;1;Tak;A;D
4;4;4;5;4;4;4;4;5;4;3;3;4;4;4;4;4;2;2;4;4;4;4;4;89;62;75;43;595;20;0;0;45-54;2;Nie;A;D
4;5;5;4;4;3;4;5;4;4;3;4;4;3;4;4;4;3;4;4;4;4;4;4;65;45;41;30;396;12;1;1;35-44;2;Nie;A;A
4;4;4;5;4;4;5;5;4;4;5;4;5;5;5;5;5;5;5;5;4;4;5;5;58;37;47;22;346;14;1;1;35-44;2;Nie;A;A
4;4;5;4;5;4;5;4;4;4;5;4;4;5;5;5;5;4;4;5;4;4;5;5;75;47;53;39;479;10;1;0;35-44;2;Nie;C;C
4;5;2;5;5;4;5;4;4;4;3;5;5;3;4;5;5;2;5;4;5;4;4;5;52;25;41;14;278;24;0;1;55-64;1;Nie;A;B
4;4;4;5;2;4;4;4;3;2;5;5;5;5;4;2;4;5;5;5;4;4;5;5;68;49;67;53;460;35;1;1;55-64;1;Tak;C;D
4;4;4;4;4;4;3;4;2;2;3;3;4;3;3;4;4;4;2;2;4;3;3;4;82;46;82;25;538;16;1;0;35-44;2;Nie;A;A
5;4;2;5;4;5;5;5;4;4;4;4;4;3;3;5;5;4;2;3;4;5;4;4;56;35;38;19;317;6;1;1;25-34;1;Nie;B;C
2;4;2;2;3;2;2;4;4;2;3;4;3;3;3;2;4;3;3;3;2;2;3;3;56;37;43;13;313;36;1;1;55-64;1;Nie;A;B
4;4;4;4;3;4;4;3;3;4;3;4;4;4;4;4;4;3;3;3;4;4;4;3;71;57;57;31;424;15;0;0;35-44;2;Nie;B;A
4;4;4;4;4;1;4;2;2;1;2;3;2;4;2;2;4;2;4;3;4;2;2;3;153;99;91;55;822;34;1;0;55-64;2;Nie;B;B
2;2;2;2;2;2;4;4;1;2;4;3;4;2;2;2;2;4;2;2;2;2;3;2;86;78;77;67;704;35;0;0;65+;1;Nie;B;C
4;4;4;4;4;4;4;4;4;2;4;2;4;2;2;4;4;4;2;2;4;4;2;4;46;39;38;17;292;6;1;0;35-44;2;Nie;B;C
4;4;4;3;4;5;5;5;5;4;1;1;1;2;1;3;3;4;2;2;4;5;1;3;80;43;67;25;457;18;1;0;45-54;1;Nie;B;C
4;4;4;4;4;2;4;4;4;2;3;2;4;3;2;4;4;2;4;4;4;4;3;4;66;49;73;50;433;17;1;0;35-44;2;Nie;B;D
4;4;4;4;4;4;4;4;4;4;5;3;4;3;3;4;4;4;4;4;4;4;3;4;83;80;62;70;584;7;1;1;35-44;2;Tak;A;B
2;2;2;4;3;5;5;5;3;5;4;4;4;3;5;5;4;4;2;1;2;5;4;4;79;38;46;31;387;6;0;0;25-34;2;Tak;A;A
2;2;3;4;4;4;4;4;4;4;4;2;4;3;3;4;4;3;1;1;3;4;3;3;75;58;93;38;573;5;0;0;25-34;2;Nie;B;C
2;2;4;5;3;4;4;4;4;3;4;2;3;3;3;2;4;4;4;4;3;4;3;4;139;59;105;55;645;29;0;0;45-54;1;Nie;B;C
5;5;5;5;5;4;4;5;5;5;4;4;4;4;3;5;5;4;5;5;5;5;4;5;63;47;55;36;436;1;1;0;25-34;1;Tak;A;D
4;4;4;4;4;4;2;3;2;2;2;2;4;4;2;2;4;4;2;2;4;2;2;2;65;51;56;34;433;20;0;0;35-44;2;Tak;A;B
4;4;4;4;3;5;4;4;3;4;2;2;2;2;2;3;4;2;3;3;4;4;2;3;166;73;118;99;822;7;0;0;35-44;2;Nie;B;B
